#identifier	specie	cenwave	f	gamma	weight
EmI_1215	EmI	1215.6701	1.0	100000000.0	1.0
SkI_1215	SkI	1215.6701	0.4164	626500000.0	1.0
GsI_1215	GsI	1215.6701	0.4164	0.0	1.0
HI_1215	HI	1215.6701	0.4164	626500000.0	1.00794
HI_1025	HI	1025.7223	0.07914	189700000.0	1.00794
HI_972	HI	972.5368	0.02901	81270000.0	1.00794
HI_949	HI	949.7431	0.01395	42040000.0	1.00794
HI_937	HI	937.8035	0.007803	24500000.0	1.00794
HI_930	HI	930.7483	0.004817	15510000.0	1.00794
HI_926	HI	926.2257	0.003185	10430000.0	1.00794
HI_923	HI	923.1504	0.002217	7344000.0	1.00794
HI_920	HI	920.9631	0.001606	5366000.0	1.00794
HI_919	HI	919.3514	0.001201	4038000.0	1.00794
HI_918	HI	918.1294	0.0009219	3115000.0	1.00794
HI_917	HI	917.1806	0.0007231	2453000.0	1.00794
HI_916	HI	916.429	0.0005777	1966000.0	1.00794
HI_915	HI	915.824	0.0004689	1600000.0	1.00794
HI_915	HI	915.329	0.0003858	1319000.0	1.00794
HI_914	HI	914.919	0.0003213	1100000.0	1.00794
HI_914	HI	914.576	0.0002704	927500.0	1.00794
HI_914	HI	914.286	0.0002297	789000.0	1.00794
HI_914	HI	914.039	0.0001968	676700.0	1.00794
HI_913	HI	913.826	0.0001699	584800.0	1.00794
HI_913	HI	913.641	0.0001477	508800.0	1.00794
HI_913	HI	913.48	0.0001292	445400.0	1.00794
HI_913	HI	913.339	0.0001136	392100.0	1.00794
HI_913	HI	913.215	0.0001005	347000.0	1.00794
HI_913	HI	913.104	8.932e-05	308500.0	1.00794
HI_913	HI	913.006	7.974e-05	275600.0	1.00794
HI_912	HI	912.918	7.148e-05	247100.0	1.00794
HI_912	HI	912.839	6.432e-05	222500.0	1.00794
HI_912	HI	912.768	5.809e-05	201000.0	1.00794
HI_912	HI	912.703	5.264e-05	188200.0	1.00794
HI_912	HI	912.645	4.8e-05	127700.0	1.00794
HI_911	HI	911.7536	6.3e-18	1.0	1.00794
HI2_6564	HI2	6564.623	0.6958	64650000.0	0.0
HI2_4862	HI2	4862.688	0.1218	20620000.0	0.0
HI2_4341	HI2	4341.69	0.04437	9425000.0	0.0
DI_1215	DI	1215.3394	0.4165	626700000.0	2.0
DI_1025	DI	1025.4433	0.07912	189800000.0	2.0
DI_972	DI	972.2722	0.029	81290000.0	2.0
DI_949	DI	949.4847	0.01392	42050000.0	2.0
DI_937	DI	937.5484	0.007802	24510000.0	2.0
DI_930	DI	930.4951	0.004815	15510000.0	2.0
DI_925	DI	925.9737	0.003184	10430000.0	2.0
DI_922	DI	922.899	0.002217	7346000.0	2.0
DI_920	DI	920.712	0.001606	5367000.0	2.0
DI_919	DI	919.102	0.001201	4040000.0	2.0
DI_917	DI	917.879	0.0009217	3116000.0	2.0
DI_916	DI	916.931	0.0007229	2454000.0	2.0
DI_916	DI	916.179	0.0005776	1967000.0	2.0
DI_915	DI	915.575	0.0004688	1600000.0	2.0
DI_915	DI	915.08	0.0003857	1319000.0	2.0
HeI_584	HeI	584.334	0.285	200000000.0	4.002602
HeI_537	HeI	537.0296	0.0752	200000000.0	4.002602
HeI_522	HeI	522.2128	0.0307	200000000.0	4.002602
HeI_515	HeI	515.6165	0.0154	200000000.0	4.002602
HeII_303	HeII	303.7822	0.416	627000000.0	4.002602
HeII_256	HeII	256.317	0.079	189700000.0	4.002602
LiI_6709	LiI	6709.7666	0.249	36890000.0	7.0
LiI_6709	LiI	6709.6156	0.498	36900000.0	7.0
BeII_3131	BeII	3131.3292	0.3321	113000000.0	9.012182
BeII_3131	BeII	3131.9742	0.166	112900000.0	9.012182
BeII_1036	BeII	1036.319	0.02769	184600000.0	9.012182
BeII_1036	BeII	1036.299	0.05538	184600000.0	9.012182
BII_1362	BII	1362.463	0.996	1190000000.0	10.811
BIII_2066	BIII	2066.436	0.238	100000000.0	10.811
BIII_2067	BIII	2067.893	0.119	100000000.0	10.811
CI_945	CI	945.188	0.2726	100000000.0	12.011
CI*_1139	CI*	1139.2998	0.00121	6240000.0	0.0
CI_1139	CI	1139.7919	0.0123	21000000.0	12.011
CI*_1139	CI*	1139.5145	0.00881	27200000.0	0.0
CI*_1140	CI*	1140.0053	0.00184	9440000.0	0.0
CI**_1139	CI**	1139.8121	0.00806	29600000.0	0.0
CI**_1139	CI**	1139.8651	0.000252	1300000.0	0.0
CI_1140	CI	1140.0096	0.00356	6090000.0	12.011
CI*_1139	CI*	1139.7659	0.0015	4620000.0	0.0
CI**_1140	CI**	1140.1167	0.00358	18400000.0	0.0
CI*_1140	CI*	1140.3576	0.00207	6380000.0	0.0
CI**_1140	CI**	1140.6415	0.00172	6280000.0	0.0
CI_1155	CI	1155.8092	0.00492	8190000.0	12.011
CI*_1155	CI*	1155.9793	0.0025	37400000.0	0.0
CI*_1156	CI*	1156.0286	0.00227	11300000.0	0.0
CI*_1156	CI*	1156.1992	0.000799	2390000.0	0.0
CI**_1156	CI**	1156.3895	0.00181	15100000.0	0.0
CI**_1156	CI**	1156.5603	0.00539	26900000.0	0.0
CI_1157	CI	1157.9097	0.0212	35100000.0	12.011
CI*_1156	CI*	1156.7697	0.00878	26200000.0	0.0
CI*_1158	CI*	1158.1299	0.00397	19700000.0	0.0
CI**_1158	CI**	1158.0188	0.0157	55600000.0	0.0
CI**_1158	CI**	1158.1317	0.00519	25800000.0	0.0
CI_1158	CI	1158.324	0.00655	10900000.0	12.011
CI*_1158	CI*	1158.5443	0.000675	3350000.0	0.0
CI*_1158	CI*	1158.6744	0.00147	21900000.0	0.0
CI**_1158	CI**	1158.3971	0.00165	8190000.0	0.0
CI**_1158	CI**	1158.9068	0.00101	8360000.0	0.0
CI_1188	CI	1188.8329	0.0124	19500000.0	12.011
CI*_1188	CI*	1188.9928	0.00507	71700000.0	0.0
CI*_1189	CI*	1189.065	0.00426	20100000.0	0.0
CI*_1189	CI*	1189.2488	0.00385	10900000.0	0.0
CI**_1189	CI**	1189.4468	0.00376	29600000.0	0.0
CI**_1189	CI**	1189.6307	0.0112	52700000.0	0.0
CI_1192	CI	1192.2158	0.00137	2150000.0	12.011
CI*_1192	CI*	1192.4492	0.00162	7600000.0	0.0
CI_1193	CI	1193.03	0.0409	63900000.0	12.011
CI*_1193	CI*	1193.0085	0.0281	79000000.0	0.0
CI*_1193	CI*	1193.2637	0.00913	42900000.0	0.0
CI**_1193	CI**	1193.2401	0.0332	111000000.0	0.0
CI**_1193	CI**	1193.3928	0.00738	34600000.0	0.0
CI**_1193	CI**	1193.6483	0.000288	2250000.0	0.0
CI*_1194	CI*	1194.301	0.00905	4100000.0	0.0
CI**_1194	CI**	1194.4885	0.00203	6770000.0	0.0
CI_1193	CI	1193.9954	0.0124	19400000.0	12.011
CI*_1193	CI*	1193.6786	0.00905	25400000.0	0.0
CI*_1194	CI*	1194.2295	0.00178	8330000.0	0.0
CI*_1194	CI*	1194.4055	0.00314	44000000.0	0.0
CI**_1194	CI**	1194.0634	0.00636	29800000.0	0.0
CI**_1194	CI**	1194.6146	0.00227	17700000.0	0.0
CI_1260	CI	1260.7351	0.0507	240000000.0	12.011
CI*_1260	CI*	1260.9262	0.0175	241000000.0	0.0
CI*_1260	CI*	1260.9961	0.0134	240000000.0	0.0
CI*_1261	CI*	1261.1224	0.0202	236000000.0	0.0
CI**_1261	CI**	1261.4255	0.0131	240000000.0	0.0
CI**_1261	CI**	1261.5519	0.0391	236000000.0	0.0
CI_1270	CI	1270.1432	0.000386	531000.0	12.011
CI*_1270	CI*	1270.4081	4.51e-05	186000.0	0.0
CI**_1270	CI**	1270.844	1.45e-08	99.7	0.0
CI_1276	CI	1276.4822	0.00589	8030000.0	12.011
CI*_1276	CI*	1276.7498	0.00308	12600000.0	0.0
CI**_1277	CI**	1277.19	0.000322	2200000.0	0.0
CI_1277	CI	1277.2452	0.0853	232000000.0	12.011
CI*_1277	CI*	1277.2827	0.0666	246000000.0	0.0
CI*_1277	CI*	1277.5131	0.021	232000000.0	0.0
CI**_1277	CI**	1277.5501	0.0763	244000000.0	0.0
CI**_1277	CI**	1277.7233	0.0153	246000000.0	0.0
CI**_1277	CI**	1277.9539	0.000817	232000000.0	0.0
CI*_1279	CI*	1279.0562	0.000708	1730000.0	0.0
CI**_1279	CI**	1279.229	0.00214	6240000.0	0.0
CI**_1279	CI**	1279.498	0.000456	1860000.0	0.0
CI_1280	CI	1280.1352	0.0263	106000000.0	12.011
CI*_1279	CI*	1279.8907	0.0143	117000000.0	0.0
CI*_1280	CI*	1280.4043	0.0044	106000000.0	0.0
CI*_1280	CI*	1280.5975	0.00704	105000000.0	0.0
CI**_1280	CI**	1280.3331	0.0152	117000000.0	0.0
CI**_1280	CI**	1280.8471	0.00522	106000000.0	0.0
CI*_1287	CI*	1287.6076	6.03e-05	146000.0	0.0
CI**_1288	CI**	1288.0553	2.01e-05	80900.0	0.0
CI_1328	CI	1328.8333	0.0758	288000000.0	12.011
CI*_1329	CI*	1329.0849	0.0254	289000000.0	0.0
CI*_1329	CI*	1329.1004	0.0313	287000000.0	0.0
CI*_1329	CI*	1329.1233	0.0191	288000000.0	0.0
CI**_1329	CI**	1329.5775	0.0569	287000000.0	0.0
CI**_1329	CI**	1329.6004	0.0189	288000000.0	0.0
CI_1560	CI	1560.3092	0.0774	127000000.0	12.011
CI*_1560	CI*	1560.682	0.0581	127000000.0	0.0
CI*_1560	CI*	1560.7089	0.0193	127000000.0	0.0
CI**_1561	CI**	1561.3399	0.0116	127000000.0	0.0
CI**_1561	CI**	1561.3668	0.000772	127000000.0	0.0
CI**_1561	CI**	1561.4378	0.0649	127000000.0	0.0
CI_1656	CI	1656.9284	0.149	360000000.0	12.011
CI*_1656	CI*	1656.2672	0.0621	361000000.0	0.0
CI*_1657	CI*	1657.3792	0.0371	360000000.0	0.0
CI*_1657	CI*	1657.9071	0.0494	360000000.0	0.0
CI**_1657	CI**	1657.0081	0.111	361000000.0	0.0
CI**_1658	CI**	1658.1211	0.0371	361000000.0	0.0
CII_903	CII	903.9616	3.38E-01	2.76E+09	12.011
CII_1334	CII	1334.5323	0.1278	288000000.0	12.011
CII_1036	CII	1036.3367	0.118	2200000000.0	12.011
CII*_1335	CII*	1335.7077	0.115	288000000.0	0.0
CII*_1335	CII*	1335.6627	0.01277	288000000.0	0.0
CII*_1037	CII*	1037.0182	0.118	2200000000.0	0.0
CIII_977	CIII	977.0201	0.757	1760000000.0	12.011
CIV_1548	CIV	1548.204	0.1899	264200000.0	12.011
CIV_1550	CIV	1550.77755	0.09475	262800000.0	12.011
NI_1201	NI	1200.7098	0.0432	400000000.0	14.00674
NI_1200	NI	1200.2233	0.0869	402000000.0	14.00674
NI_1199	NI	1199.5496	0.132	407000000.0	14.00674
NI_1134	NI	1134.9803	0.0416	144000000.0	14.00674
#NI_1134	NI	1134.4149	0.0278	149000000.0	14.00674
#NI_1134	NI	1134.1653	0.0146	151000000.0	14.00674
NI_965	NI	965.0413	0.00386	81600000.0	14.00674
NI_964	NI	964.6256	0.0079	83100000.0	14.00674
NI_963	NI	963.9903	0.0124	85500000.0	14.00674
NI_954	NI	954.1042	0.004	141000000.0	14.00674
NI_953	NI	953.9699	0.0331	203000000.0	14.00674
NI_953	NI	953.6549	0.0247	210000000.0	14.00674
NI_953	NI	953.4152	0.0129	219000000.0	14.00674
NII_1083	NII	1083.9937	0.111	374000000.0	14.00674
NII_915	NII	915.6131	0.159	1270000000.0	14.00674
NIII_989	NIII	989.799	0.123	500000000.0	14.00674
NV_1238	NV	1238.821	0.156	339100000.0	14.00674
NV_1242	NV	1242.804	0.077	335600000.0	14.00674
OI_1355	OI	1355.5977	1.16e-06	5560.0	15.9994
OI_1302	OI	1302.1685	0.048	565000000.0	15.9994
OI_1039	OI	1039.2304	0.00907	187000000.0	15.9994
OI_1026	OI	1026.4757	8.71e-08	45800000.0	15.9994
OI_1025	OI	1025.7616	0.0163	102000000.0	15.9994
OI_988	OI	988.7734	0.0465	226000000.0	15.9994
OI_976	OI	976.4481	0.00331	80100000.0	15.9994
OI_971	OI	971.7382	0.0116	85800000.0	15.9994
OI_950	OI	950.8846	0.00158	38760000.0	15.9994
OI_948	OI	948.6855	0.00631	29000000.0	15.9994
OI_937	OI	937.8405	0.000877	11020000.0	15.9994
OI_936	OI	936.6295	0.00365	17040000.0	15.9994
OI_930	OI	930.2566	0.000537	6900000.0	15.9994
OI_929	OI	929.5168	0.00229	10000000.0	15.9994
OI_925	OI	925.446	0.000354	4600000.0	15.9994
OI_924	OI	924.95	0.00154	10000000.0	15.9994
OI_922	OI	922.2	0.000245	3210000.0	15.9994
OI_921	OI	921.857	0.00108	10000000.0	15.9994
OI_919	OI	919.917	0.000177	2330000.0	15.9994
OI_919	OI	919.658	0.000792	10000000.0	15.9994
OI_919	OI	919.222	0.000132	1740000.0	15.9994
OI_918	OI	918.044	0.000614	10000000.0	15.9994
OI_916	OI	916.96	0.000101	1330000.0	15.9994
